datetime,humidity,co2,soil,temperature
"05/12/65,01:42",82.24,524.57,40.2,27.64
"05/12/65,01:44",82.11,521.93,46.8,27.61
"05/12/65,01:46",82.14,509.91,41,27.57
"05/12/65,01:48",82.21,510.65,44.2,27.59
"05/12/65,01:50",82.18,498.5,45.4,27.56
"05/12/65,01:52",81.95,492.59,48.4,27.56
"05/12/65,01:54",82.07,497.3,40.2,27.54
"05/12/65,01:56",81.84,489.01,47,27.52
"05/12/65,01:58",81.84,487.9,40.2,27.53
"05/12/65,02:00",81.51,488.22,48.2,27.56
"05/12/65,02:02",81.78,483.13,39.2,27.56
"05/12/65,02:04",81.93,483.28,40.8,27.59
"05/12/65,02:06",81.68,474.76,44.8,27.59
"05/12/65,02:08",81.29,480.84,42.8,27.61
"05/12/65,02:10",81.1,478.41,40.8,27.63
"05/12/65,02:12",81.05,476.29,39.2,27.64
"05/12/65,02:14",80.98,487.15,39.8,27.69
"05/12/65,02:16",81.2,482.33,39.8,27.71
"05/12/65,02:18",80.89,478.46,36.6,27.7
"05/12/65,02:20",80.95,479.65,39.8,27.73
"05/12/65,02:22",80.6,476.68,39,27.74
"05/12/65,02:24",80.19,470.74,36.4,27.77
"05/12/65,02:26",80.54,464.59,45,27.76
"05/12/65,02:28",80.67,463.59,40.8,27.78
"05/12/65,02:30",80.36,460.15,43.4,27.8
"05/12/65,02:32",80.44,468.33,35.8,27.81
"05/12/65,02:34",80.12,462.89,37.4,27.81
"05/12/65,02:36",79.88,466.1,43.8,27.84
"05/12/65,02:38",79.85,467.88,41,27.83
"05/12/65,02:40",79.44,457.51,40.8,27.85
"05/12/65,02:42",79.23,464.47,39.2,27.88
"05/12/65,02:44",79.15,464.34,46,27.87
"05/12/65,02:46",79.4,465.9,32.4,27.88
"05/12/65,02:48",79.2,455.69,43.6,27.91
"05/12/65,02:50",79.43,459.17,43.4,27.92
"05/12/65,02:52",79.64,460.15,41.4,27.94
"05/12/65,02:54",79.48,454.85,32.4,27.97
"05/12/65,02:56",79.53,464.43,36.4,27.98
"05/12/65,02:58",79.38,471.44,44.8,27.97
"05/12/65,03:00",79.22,484.08,40.6,27.94
"05/12/65,03:02",79.35,474.69,44.4,27.92
"05/12/65,03:04",79.2,468.03,42.2,27.91
"05/12/65,03:06",79.57,465.53,38.6,27.88
"05/12/65,03:08",79.42,474.87,44.4,27.91
"05/12/65,03:10",79.59,473.75,39,27.88
"05/12/65,03:12",79.52,471.66,46.8,27.85
"05/12/65,03:14",79.55,464.88,40.2,27.83
"05/12/65,03:16",79.69,471.13,46.4,27.83
"05/12/65,03:18",79.45,461.53,43,27.81
"05/12/65,03:20",79.82,465.35,47,27.8
"05/12/65,03:22",79.93,461.61,43,27.8
"05/12/65,03:24",79.87,455.77,43,27.73
"05/12/65,03:26",80.21,457.26,40.4,27.73
"05/12/65,03:28",80.16,462.73,42.4,27.77
"05/12/65,03:30",80,462.23,44,27.77
"05/12/65,03:32",79.87,459.57,39.8,27.78
"05/12/65,03:34",79.96,467.57,38.8,27.8
"05/12/65,03:36",79.98,472.02,40.6,27.77
"05/12/65,03:38",79.74,475.18,44.8,27.76
"05/12/65,03:40",79.73,472.92,43,27.73
"05/12/65,03:42",79.67,467.11,37.2,27.7
"05/12/65,03:44",79.76,467.15,45.6,27.66
"05/12/65,03:46",79.69,470.56,44.2,27.63
"05/12/65,03:48",79.77,472.41,40,27.6
"05/12/65,03:50",79.78,478.89,36.8,27.56
"05/12/65,03:52",80.43,489.65,39.2,27.53
"05/12/65,03:54",80.54,488.76,46,27.46
"05/12/65,03:56",80.61,490.74,44.4,27.46
"05/12/65,03:58",81.05,492,41.4,27.42
"05/12/65,04:00",81.18,494.94,39.6,27.4
"05/12/65,04:02",81.49,487.09,45.4,27.37
"05/12/65,04:04",81.54,487.08,43,27.36
"05/12/65,04:06",81.73,478.59,41.2,27.33
"05/12/65,04:08",82.03,484.22,44,27.32
"05/12/65,04:10",81.98,485.43,34.4,27.34
"05/12/65,04:12",81.92,471.29,46,27.3
"05/12/65,04:14",81.8,477.69,42.8,27.3
"05/12/65,04:16",81.7,475.35,42.4,27.3
"05/12/65,04:18",81.62,473.55,43.2,27.33
"05/12/65,04:20",81.68,472.59,44.8,27.34
"05/12/65,04:22",81.48,458.81,38.6,27.3
"05/12/65,04:24",81.36,468.28,48.6,27.3
"05/12/65,04:26",81.32,457.3,46.2,27.32
"05/12/65,04:28",81.36,465.5,45.2,27.33
"05/12/65,04:30",81.7,468.18,43.2,27.34
"05/12/65,04:32",81.57,471.17,40.2,27.36
"05/12/65,04:34",81,464.6,45.6,27.33
"05/12/65,04:36",80.84,468.13,38.8,27.37
"05/12/65,04:38",81.1,464.2,41.4,27.39
"05/12/65,04:40",81,472.44,41.8,27.45
"05/12/65,04:42",81.04,469.54,43.2,27.45
"05/12/65,04:44",81.2,465.72,41,27.43
"05/12/65,04:46",80.8,467.19,47.2,27.43
"05/12/65,04:48",80.72,473.57,39,27.45
"05/12/65,04:50",80.66,473.11,42.2,27.47
"05/12/65,04:52",80.62,468.29,40.4,27.45
"05/12/65,04:54",80.69,473.66,45.2,27.43
"05/12/65,04:56",80.9,489,39.2,27.4
"05/12/65,04:58",80.92,495.87,39.4,27.39
"05/12/65,05:00",80.81,489.27,44.8,27.39
"05/12/65,05:02",81.09,486.63,40.4,27.37
"05/12/65,05:04",81.14,493.93,39,27.37
"05/12/65,05:06",81.18,490.09,41.4,27.36
"05/12/65,05:08",81.13,488.98,45.8,27.37
"05/12/65,05:10",81.1,482.72,44,27.34
"05/12/65,05:12",81.05,478.57,41.4,27.33
"05/12/65,05:14",81.01,480.91,42.2,27.32
"05/12/65,05:16",80.94,484.73,44.4,27.28
"05/12/65,05:18",80.9,482.22,43.6,27.26
"05/12/65,05:20",80.84,496.71,45.2,27.23
"05/12/65,05:22",80.89,491.39,42,27.2
"05/12/65,05:24",80.8,500.96,50.4,27.19
"05/12/65,05:26",80.75,501.56,45.6,27.16
"05/12/65,05:28",80.81,498.9,46,27.12
"05/12/65,05:30",80.81,491.44,39.4,27.12
"05/12/65,05:32",80.96,493.51,43,27.05
"05/12/65,05:34",81.04,493.16,43.2,27.02
"05/12/65,05:36",80.93,488.05,47,26.99
"05/12/65,05:38",80.95,494.19,44.4,26.98
"05/12/65,05:40",81.16,492.97,46.8,26.94
"05/12/65,05:42",81.18,497.37,48.6,26.92
"05/12/65,05:44",81.29,494.45,47.2,26.89
"05/12/65,05:46",81.54,498.39,38.4,26.92
"05/12/65,05:48",81.55,491.34,45.4,26.88
"05/12/65,05:50",81.4,481.29,39,26.84
"05/12/65,05:52",81.37,479.24,50.4,26.81
"05/12/65,05:54",81.11,477.1,46.2,26.79
"05/12/65,05:56",80.71,465.87,40.2,26.74
"05/12/65,05:58",80.56,452.14,42.8,26.75
"05/12/65,06:00",80.69,454.94,42,26.78
"05/12/65,06:02",80.32,459.1,39,26.79
"05/12/65,06:04",80.32,460.17,45.2,26.87
"05/12/65,06:06",80.15,462.28,45.4,26.89
"05/12/65,06:08",79.93,462.64,39.4,26.94
"05/12/65,06:10",79.85,466.68,41,26.97
"05/12/65,06:12",79.72,459.31,47.8,26.97
"05/12/65,06:14",79.44,457.06,43.8,27.01
"05/12/65,06:16",79.3,466.17,44.8,27.05
"05/12/65,06:18",79.67,469.76,40.2,27.09
"05/12/65,06:20",79.62,465.69,41.4,27.08
"05/12/65,06:22",79.44,463.71,39.8,27.08
"05/12/65,06:24",79.39,460,39.6,27.09
"05/12/65,06:26",79.53,466.6,46.2,27.12
"05/12/65,06:28",79.59,467.12,39.8,27.15
"05/12/65,06:30",79.69,466.74,44.8,27.16
"05/12/65,06:32",79.37,463.3,38.6,27.13
"05/12/65,06:34",78.94,452.87,45.8,27.12
"05/12/65,06:36",78.78,454.78,38.6,27.09
"05/12/65,06:38",79.04,456.07,43.4,27.13
"05/12/65,06:40",78.86,453.84,45.6,27.13
"05/12/65,06:42",78.6,453.45,42.6,27.19
"05/12/65,06:44",78.44,457.46,36,27.19
"05/12/65,06:46",78.48,451.28,42.2,27.23
"05/12/65,06:48",78.47,450.58,45.6,27.26
"05/12/65,06:50",78.35,453.78,40.2,27.33
"05/12/65,06:52",78,453.01,48.2,27.32
"05/12/65,06:54",77.73,451.2,38,27.36
"05/12/65,06:56",77.7,450.22,43.2,27.42
"05/12/65,06:58",77.44,444.53,46.4,27.46
"05/12/65,07:00",77.27,455.15,42.8,27.53
"05/12/65,07:02",77.21,446.76,42.8,27.6
"05/12/65,07:04",76.77,444.11,49.2,27.67
"05/12/65,07:06",76.64,450.14,42.4,27.77
"05/12/65,07:08",76.58,443.62,38.8,27.87
"05/12/65,07:10",76.49,435.69,44.6,27.95
"05/12/65,07:12",76.24,444.16,46.8,28.05
"05/12/65,07:14",76.24,445.33,38.6,28.19
"05/12/65,07:16",76.25,437.88,43,28.25
"05/12/65,07:18",76.05,439.34,43,28.35
"05/12/65,07:20",75.3,443.84,44,28.46
"05/12/65,07:22",74.89,446.89,42.8,28.5
"05/12/65,07:24",74.39,439.45,43.6,28.56
"05/12/65,07:26",74.98,442.29,46.6,28.65
"05/12/65,07:28",74.35,438.01,42.4,28.75
"05/12/65,07:30",73.19,437.59,42.8,28.8
"05/12/65,07:32",73.49,437.81,44.8,28.89
"05/12/65,07:34",73.02,440.06,37.8,28.9
"05/12/65,07:36",72.76,439.48,41.8,28.91
"05/12/65,07:38",72.57,443.13,34.6,28.94
"05/12/65,07:40",72.65,445.78,38.2,29
"05/12/65,07:42",72.34,442.66,31.4,29.03
"05/12/65,07:44",72.69,435,32.2,29.14
"05/12/65,07:46",72.54,439.36,43,29.21
"05/12/65,07:48",70.81,440.83,32.8,29.24
"05/12/65,07:50",71.46,437.42,42.2,29.21
"05/12/65,07:52",71.74,436.71,39.8,29.26
"05/12/65,07:54",70.55,442.34,38.2,29.28
"05/12/65,07:56",71.06,433.34,38.4,29.36
"05/12/65,07:58",71.65,427.17,37,29.41
"05/12/65,08:00",70.91,434.81,39.4,29.47
"05/12/65,08:02",69.81,441.22,34.4,29.54
"05/12/65,08:04",70.45,438.24,33.4,29.59
"05/12/65,08:06",69.14,437.61,28.2,29.61
"05/12/65,08:08",69.89,444.17,34,29.69
"05/12/65,08:10",69.78,433.71,31.4,29.79
"05/12/65,08:12",69.68,431.02,36,29.92
"05/12/65,08:14",68.95,427.95,40.2,30.03
"05/12/65,08:16",69.23,435.38,33.4,30.18
"05/12/65,08:18",68.33,429.56,38,30.27
"05/12/65,08:20",69.14,424.8,37,30.46
"05/12/65,08:22",67.24,436.57,30,30.6
"05/12/65,08:24",67.31,429.67,31.4,30.63
"05/12/65,08:26",65.56,437.91,37.4,30.66
"05/12/65,08:28",66.61,440.34,34.2,30.59
"05/12/65,08:30",66.77,430.58,36.4,30.54
"05/12/65,08:32",65.86,437.84,39.4,30.5
"05/12/65,08:34",66.4,431.52,32.8,30.5
"05/12/65,08:36",66.58,433.21,36.8,30.47
"05/12/65,08:38",66.96,435.37,32.4,30.6
"05/12/65,08:40",67.29,432.62,34,30.63
"05/12/65,08:42",66.28,423.26,32.4,30.64
"05/12/65,08:44",66.24,426.34,32.8,30.67
"05/12/65,08:46",66.2,429.12,35.2,30.68
"05/12/65,08:48",66.18,432.32,30.2,30.75
"05/12/65,08:50",67.15,427.51,27.8,30.94
"05/12/65,08:52",65.38,419.57,33.6,31.04
"05/12/65,08:54",65.93,428.72,28.2,31.18
"05/12/65,08:56",64.85,422.32,34.2,31.21
"05/12/65,08:58",64.56,423.57,34,31.22
"05/12/65,09:00",63.99,428.04,33,31.22
"05/12/65,09:02",64.69,427.75,34.8,31.3
"05/12/65,09:04",63.73,428.2,27.6,31.4
"05/12/65,09:06",63.52,426.23,34.8,31.48
"05/12/65,09:08",63.85,429.5,28.8,31.62
"05/12/65,09:10",63.76,427.44,33,31.73
"05/12/65,09:12",63.46,432.36,35.8,31.93
"05/12/65,09:14",63.11,427.54,32,32.1
"05/12/65,09:16",62.17,424.62,29.6,32.28
"05/12/65,09:18",62.57,422.25,38.2,32.42
"05/12/65,09:20",61.42,413.41,26.8,32.45
"05/12/65,09:22",61.92,427.95,32.8,32.62
"05/12/65,09:24",61.51,427.38,31,32.98
"05/12/65,09:26",58.92,420.51,31.4,33.27
"05/12/65,09:28",59.37,426.28,23.4,33.33
"05/12/65,09:30",58.28,421.61,19.8,33.27
"05/12/65,09:32",58.83,434.02,23.2,33.15
"05/12/65,09:34",58.27,429.39,26,33.25
"05/12/65,09:36",59.17,435.43,15.4,33.37
"05/12/65,09:38",59.04,433.1,26.2,33.6
"05/12/65,09:40",58.12,431.93,19.4,33.8
"05/12/65,09:42",57.63,435.15,18.2,33.84
"05/12/65,09:44",59.43,422.35,18.6,33.94
"05/12/65,09:46",56.38,432.32,20.2,33.94
"05/12/65,09:48",55.38,437.7,15.6,33.78
"05/12/65,09:50",57.18,430.06,13.6,33.74
"05/12/65,09:52",57.39,429.7,14,33.73
"05/12/65,09:54",58.08,422.28,16.8,33.81
"05/12/65,09:56",56.01,423.72,13,33.73
"05/12/65,09:58",56.84,429.32,14.6,33.78
"05/12/65,10:00",57.97,432.64,19.6,33.96
"05/12/65,10:02",55.86,436,15.8,34.15
"05/12/65,10:04",55.4,422.66,16.2,34.36
"05/12/65,10:06",56.39,427.2,10.6,34.61
"05/12/65,10:08",54.15,422.42,17,34.86
"05/12/65,10:10",54.69,420.65,12.8,34.96
"05/12/65,10:12",54.05,426.13,10.6,35.07
"05/12/65,10:14",55.39,429.2,14.8,35.34
"05/12/65,10:16",53.73,431.58,11.6,35.58
"05/12/65,10:18",54.58,425.13,10,35.74
"05/12/65,10:20",52.41,411.05,20,35.94
"05/12/65,10:22",51.75,425.78,9,35.89
"05/12/65,10:24",52.21,429.13,9.6,35.81
"05/12/65,10:26",50.86,428.96,7.4,35.7
"05/12/65,10:28",52.05,442.64,8.2,35.46
"05/12/65,10:30",52.56,435.66,11.6,35.26
"05/12/65,10:32",53.25,434.53,8.2,35.32
"05/12/65,10:34",52.58,438.91,6.6,35.64
"05/12/65,10:36",50.96,431.91,8.4,35.84
"05/12/65,10:38",52.85,422.78,23.2,35.75
"05/12/65,10:40",52.32,427.03,12,35.89
"05/12/65,10:42",51.82,425.83,10.4,35.99
"05/12/65,10:44",51.93,428.56,5,35.81
"05/12/65,10:46",51.6,426.42,14.6,35.63
"05/12/65,10:48",52.45,434.49,10.6,35.5
"05/12/65,10:50",52.55,423.79,8,35.16
"05/12/65,10:52",52.93,423.38,10.2,34.85
"05/12/65,10:54",54.2,425.6,9.6,34.85
"05/12/65,10:56",54.86,428.91,7.2,35.05
"05/12/65,10:58",55.34,428.52,5.2,34.97
"05/12/65,11:00",53.92,421.86,9,35.07
"05/12/65,11:02",53.49,426.57,6,35.4
"05/12/65,11:04",54.49,432.79,13,35.55
"05/12/65,11:06",53.63,437.51,6.2,35.44
"05/12/65,11:08",52.78,436.81,11.4,35.33
"05/12/65,11:10",54.32,429.52,11.8,35.03
"05/12/65,11:12",54.65,427.36,10.6,34.95
"05/12/65,11:14",55.81,429.33,16.2,35.05
"05/12/65,11:16",52.92,434.75,15.8,35
"05/12/65,11:18",53.38,432.15,16.8,34.9
"05/12/65,11:20",54.56,426,13.4,34.75
"05/12/65,11:22",54.84,428.48,12.6,35.02
"05/12/65,11:24",54.1,421.55,10.8,35.13
"05/12/65,11:26",53.25,423.28,15.4,35.23
"05/12/65,11:28",54.13,421.58,14.4,35.1
"05/12/65,11:30",54.74,426.87,6.8,35.3
"05/12/65,11:32",53.62,429.79,11.4,35.34
"05/12/65,11:34",53.95,430.93,16.8,35.48
"05/12/65,11:36",53.03,426.14,8.6,35.73
"05/12/65,11:38",51.97,422.44,14.4,35.89
"05/12/65,11:40",52.69,424.82,10.4,35.55
"05/12/65,11:42",51.69,431.36,11.4,35.47
"05/12/65,11:44",52.79,432.43,8.8,35.5
"05/12/65,11:46",51.59,421.79,13.2,35.75
"05/12/65,11:48",52.71,426,12.2,35.96
"05/12/65,11:50",51.94,431.05,13.6,36.18
"05/12/65,11:52",50.84,430.42,18.2,36.26
"05/12/65,11:54",52.2,429.63,10.8,36.4
"05/12/65,11:56",52.01,435.48,13,36.55
"05/12/65,11:58",51.87,421.63,5.8,36.65
"05/12/65,12:00",51.62,429.77,6,36.39
"05/12/65,12:02",51.32,432.14,10.4,36.65
"05/12/65,12:04",51.2,430.68,12,36.82
"05/12/65,12:06",50.3,430.79,6.2,37.01
"05/12/65,12:08",50.43,424.05,10,37.07
"05/12/65,12:10",50.2,420.08,10.4,36.89
"05/12/65,12:12",49.98,420.28,12.6,36.56
"05/12/65,12:14",51,429.42,11.4,36.15
"05/12/65,12:16",53.24,426.5,8.8,36.02
"05/12/65,12:18",52.22,419.85,9.4,36.12
"05/12/65,12:20",52.47,417.59,6.2,36.09
"05/12/65,12:22",52.19,415.15,10,36.11
"05/12/65,12:24",52.28,412.59,9.4,36.11
"05/12/65,12:26",52.83,413.09,7.2,36.09
"05/12/65,12:28",51.84,415.07,7,36.21
"05/12/65,12:30",51.82,420.74,4.2,36.09
"05/12/65,12:32",51.69,422.51,7.6,36.09
"05/12/65,12:34",51.88,426.26,13,36.01
"05/12/65,12:36",51.07,419.17,11,35.99
"05/12/65,12:38",52.54,421.65,5.4,35.96
"05/12/65,12:40",51.97,420.37,4.2,36.06
"05/12/65,12:42",51.23,422.68,5.8,36.26
"05/12/65,12:44",50.91,427.32,7.4,36.24
"05/12/65,12:46",52.03,431.02,11.8,36.24
"05/12/65,12:48",52.07,431.44,11,36.35
"05/12/65,12:50",52.29,429.12,15,36.67
"05/12/65,12:52",52.76,421.2,9.8,36.73
"05/12/65,12:54",50.78,417.45,9.4,36.98
"05/12/65,12:56",50.56,418.74,10.6,36.96
"05/12/65,12:58",49.39,420.68,7.6,37.03
"05/12/65,13:00",51.58,420.88,7,37.13
"05/12/65,13:02",50.19,423.2,4.6,36.76
"05/12/65,13:04",53.23,421.79,8.4,36.46
"05/12/65,13:06",51.29,417.77,8,36.25
"05/12/65,13:08",52.2,417.13,9.4,36.09
"05/12/65,13:10",53.02,421.03,6,35.94
"05/12/65,13:12",54,414.61,9.6,35.92
"05/12/65,13:14",53.62,416.08,12.2,35.88
"05/12/65,13:16",53.59,418.27,7,36.01
"05/12/65,13:18",54.31,417.08,10.6,36.32
"05/12/65,13:20",52.27,415.48,12.8,36.52
"05/12/65,13:22",52.95,419.14,14.4,36.56
"05/12/65,13:24",51.56,410.85,14.2,36.65
"05/12/65,13:26",51.89,418.4,13,36.55
"05/12/65,13:28",51.17,415.93,11.6,36.66
"05/12/65,13:30",51.79,412.61,10.4,36.69
"05/12/65,13:32",51.23,420.08,6.2,36.87
"05/12/65,13:34",50.53,422.53,10.8,36.86
"05/12/65,13:36",52.26,423.97,7.8,36.82
"05/12/65,13:38",52.31,411.53,12.8,36.9
"05/12/65,13:40",52.71,414.06,6.6,36.94
"05/12/65,13:42",51.14,417.04,9.6,37.17
"05/12/65,13:44",51.85,411.06,7,37.54
"05/12/65,13:46",50.35,404.08,6.2,37.78
"05/12/65,13:48",48.7,405.91,8.8,37.98
"05/12/65,13:50",49.16,422.23,10.2,38.08
"05/12/65,13:52",47.91,420.45,8.8,38.12
"05/12/65,13:54",48.6,420.31,8.2,37.93
"05/12/65,13:56",48.59,419.85,6.8,37.82
"05/12/65,13:58",49.02,417.22,7.6,37.55
"05/12/65,14:00",49.17,426.62,11.4,37.38
"05/12/65,14:02",49.82,421.67,7.6,37.45
"05/12/65,14:04",49.4,430.98,9.6,37.6
"05/12/65,14:06",49.43,421.87,6.6,37.76
"05/12/65,14:08",50.01,433.58,13,38.02
"05/12/65,14:10",50.22,423.63,10.2,38.33
"05/12/65,14:12",49.58,428,10.2,38.56
"05/12/65,14:14",49.87,433.27,6.4,38.87
"05/12/65,14:16",48.41,426.77,9.2,39.12
"05/12/65,14:18",48.06,425.75,8.8,39.29
"05/12/65,14:20",47.42,417.74,8.8,39.29
"05/12/65,14:22",47.18,419.05,6.2,39.18
"05/12/65,14:24",47.73,414.4,8.8,39.01
"05/12/65,14:26",47.92,417.04,8,38.98
"05/12/65,14:28",48.29,416.68,8,38.97
"05/12/65,14:30",48.6,416.52,7.8,38.98
"05/12/65,14:32",47.99,431.26,7.2,38.84
"05/12/65,14:34",47.04,427.55,7.2,38.45
"05/12/65,14:36",48.46,425.54,5.6,38.03
"05/12/65,14:38",49.52,424.98,5.2,37.64
"05/12/65,14:40",50.44,424.81,9.6,37.67
"05/12/65,14:42",50.37,427.54,8.2,37.57
"05/12/65,14:44",50.53,420.87,5.8,37.34
"05/12/65,14:46",50.59,420.86,7.6,37.07
"05/12/65,14:48",50.27,419.76,9.2,36.9
"05/12/65,14:50",51.39,419.19,10,36.69
"05/12/65,14:52",52.6,416.42,7.2,36.7
"05/12/65,14:54",51.75,421.01,9.6,36.7
"05/12/65,14:56",52.59,420.77,9.6,36.67
"05/12/65,14:58",50.43,421.75,10.4,36.57
"05/12/65,15:00",51.04,428.88,7.2,36.55
"05/12/65,15:02",50.33,421.74,9.4,36.46
"05/12/65,15:04",50.41,418.71,11.8,36.49
"05/12/65,15:06",50.36,415.92,8.6,36.55
"05/12/65,15:08",51.48,422.67,2,36.63
"05/12/65,15:10",51.29,416.73,9,36.79
"05/12/65,15:12",50.64,408.63,9,36.65
"05/12/65,15:14",51.3,410.7,7.8,36.57
"05/12/65,15:16",50.25,409.76,7.6,36.52
"05/12/65,15:18",51.89,418.75,9,36.43
"05/12/65,15:20",50.83,422.22,9.4,36.29
"05/12/65,15:22",50.76,420.85,7.4,36.19
"05/12/65,15:24",51.94,415.61,9.6,36.14
"05/12/65,15:26",52.54,413.12,7.4,35.89
"05/12/65,15:28",52.5,420.95,10.2,35.73
"05/12/65,15:30",53.49,416.61,11.6,35.65
"05/12/65,15:32",52.76,421.03,7.8,35.77
"05/12/65,15:34",52.59,416.28,13.2,35.96
"05/12/65,15:36",52.95,422.5,14.8,36.19
"05/12/65,15:38",51.94,423.03,15.8,36.31
"05/12/65,15:40",52.66,426.08,15,36.47
"05/12/65,15:42",51.89,420.1,12.4,36.56
"05/12/65,15:44",51.33,420.92,15.8,36.63
"05/12/65,15:46",51.31,416.11,17.2,36.69
"05/12/65,15:48",51.81,409.49,10.2,36.67
"05/12/65,15:50",51.75,400.68,11.4,36.8
"05/12/65,15:52",52.23,411.45,10.4,36.93
"05/12/65,15:54",51.93,412.6,12.4,37.05
"05/12/65,15:56",50.17,411.19,14.4,37.04
"05/12/65,15:58",49.74,419,16,37.01
"05/12/65,16:00",49.4,423.4,16.6,36.97
"05/12/65,16:02",50.32,421.17,13.8,36.86
"05/12/65,16:04",50.49,410.66,15,36.72
"05/12/65,16:06",50.09,414.44,12.6,36.59
"05/12/65,16:08",51.63,420.9,13.8,36.49
"05/12/65,16:10",51.23,418.41,13,36.45
"05/12/65,16:12",51.47,412.5,13.4,36.32
"05/12/65,16:14",52.21,425.78,10.4,36.21
"05/12/65,16:16",51.95,419.13,16.6,36.11
"05/12/65,16:18",51.87,421.65,9.2,35.89
"05/12/65,16:20",52.01,419.29,13.4,35.63
"05/12/65,16:22",52.41,425.47,11.6,35.5
"05/12/65,16:24",52.83,424.22,15,35.37
"05/12/65,16:26",53.35,422.91,12,35.23
"05/12/65,16:28",54.33,425.62,25.2,35.05
"05/12/65,16:30",54.09,427.52,13.8,34.9
"05/12/65,16:32",54.94,434.96,16.8,34.7
"05/12/65,16:34",55.53,428.99,15,34.56
"05/12/65,16:36",55.54,431.68,12.8,34.44
"05/12/65,16:38",55.53,423.84,12.8,34.24
"05/12/65,16:40",55.84,423.63,17.6,34.19
"05/12/65,16:42",56.47,418.53,16.6,34.12
"05/12/65,16:44",57.29,423.61,19.8,34.11
"05/12/65,16:46",57.23,419.63,17.8,34.03
"05/12/65,16:48",57.24,419.16,11.2,33.86
"05/12/65,16:50",56.45,416.34,19,33.7
"05/12/65,16:52",57.3,411.03,19.6,33.52
"05/12/65,16:54",58.26,411.07,24.6,33.36
"05/12/65,16:56",58.73,420.15,18.6,33.26
"05/12/65,16:58",59.09,418.63,28,33.16
"05/12/65,17:00",59.38,412.28,19,32.99
"05/12/65,17:02",59.74,417.83,25.2,32.82
"05/12/65,17:04",60.49,420.86,26.4,32.75
"05/12/65,17:06",60.66,419.2,26,32.71
"05/12/65,17:08",61.09,418.41,29.4,32.65
"05/12/65,17:10",61.53,411.59,25.2,32.57
"05/12/65,17:12",61.91,413.39,31,32.51
"05/12/65,17:14",62.45,418.69,31,32.45
"05/12/65,17:16",62.7,417.82,30.8,32.38
"05/12/65,17:18",62.74,417.27,33.6,32.34
"05/12/65,17:20",63.35,419.58,29.8,32.24
"05/12/65,17:22",63.48,419.08,27,32.16
"05/12/65,17:24",63.64,426,32.4,32.11
"05/12/65,17:26",65,425.25,36,32.06
"05/12/65,17:28",64.7,427.57,32,31.97
"05/12/65,17:30",65.01,416.32,29.2,31.87
"05/12/65,17:32",64.43,428.63,34,31.81
"05/12/65,17:34",65,425.14,34.6,31.72
"05/12/65,17:36",66.51,425.34,36.2,31.62
"05/12/65,17:38",65.65,422.9,34.6,31.54
"05/12/65,17:40",67.21,432.37,35,31.43
"05/12/65,17:42",67.61,431.68,39.6,31.32
"05/12/65,17:44",67.9,435.72,37.6,31.25
"05/12/65,17:46",68.23,435.43,38,31.12
"05/12/65,17:48",68.32,444.24,34.6,31.04
"05/12/65,17:50",69.19,443.12,38.2,30.92
"05/12/65,17:52",69.81,441.47,40.2,30.85
"05/12/65,17:54",69.85,438.53,35.2,30.74
"05/12/65,17:56",70.21,438.76,33.2,30.67
"05/12/65,17:58",70.53,440.99,40.6,30.6
"05/12/65,18:00",70.9,445.24,39.6,30.57
"05/12/65,18:02",71.17,452.86,45.6,30.56
"05/12/65,18:04",71.41,451.39,33.4,30.49
"05/12/65,18:06",71.54,454.31,39.6,30.41
"05/12/65,18:08",71.88,459.21,43.8,30.37
"05/12/65,18:10",72.5,447.53,38.6,30.31
"05/12/65,18:12",72.61,459.14,34.6,30.27
"05/12/65,18:14",72.58,458.44,40.8,30.23
"05/12/65,18:16",73.1,451.27,41,30.16
"05/12/65,18:18",73.23,465.84,41.8,30.13
"05/12/65,18:20",73.25,456.52,40.2,30.12
"05/12/65,18:22",73.49,464.44,38.6,30.06
"05/12/65,18:24",73.45,462.35,44.4,29.98
"05/12/65,18:26",73.68,460.52,37,29.93
"05/12/65,18:28",74.52,462.87,44.8,29.91
"05/12/65,18:30",74.59,458.19,39.2,29.85
"05/12/65,18:32",74.51,452.91,41.8,29.79
"05/12/65,18:34",74.46,452.12,40.8,29.73
"05/12/65,18:36",75,453.85,42,29.71
"05/12/65,18:38",75.02,455.95,43.6,29.67
"05/12/65,18:40",75.1,452.88,45,29.64
"05/12/65,18:42",75.38,453.28,41.8,29.62
"05/12/65,18:44",75.39,451.93,35,29.57
"05/12/65,18:46",75.68,446.09,38.4,29.55
"05/12/65,18:48",75.36,447.73,44,29.51
"05/12/65,18:50",75.3,446.74,37.4,29.48
"05/12/65,18:52",75.62,445.78,41.8,29.48
"05/12/65,18:54",75.47,446.05,33.6,29.42
"05/12/65,18:56",75.26,453.36,41.4,29.4
"05/12/65,18:58",75.38,452.06,36.6,29.36
"05/12/65,19:00",75.61,454.89,36,29.37
"05/12/65,19:02",76.11,458.51,40.8,29.38
"05/12/65,19:04",76.08,453.83,37.6,29.37
"05/12/65,19:06",76.35,457.53,39.4,29.37
"05/12/65,19:08",76.49,452.89,37.8,29.36
"05/12/65,19:10",76.29,457.52,40.2,29.36
"05/12/65,19:12",76.42,449.29,31.4,29.34
"05/12/65,19:14",76.63,451.02,39,29.31
